Batch_ID,Job_ID,Workstation_ID,Machine_ID,Start_Time,End_Time,Setup_Time,Setup_Cost,Waiting_Time
J1_B113,1,0,1,49863.49090360706,50012.74680197129,16.100416543892642,24.150624815838963,48924.40990994331
J1_B113,1,1,1,50060.99580124016,50195.880078586815,15.39709269360787,23.095639040411804,22.851906575262547
J1_B113,1,2,2,61222.90109416533,61402.35997729282,0.0,0.0,11017.021015578517
J1_B113,1,3,1,61628.85134304928,61770.14499593032,4.745458643929976,7.118187965894965,211.74590711253404
J1_B113,1,4,1,62056.70786502986,62279.63192562353,0.6752101101196661,1.0128151651794992,275.88765898941347
J4_B77,4,0,1,50028.847218515184,50220.342434965394,16.100416543892642,24.150624815838963,48960.73928195286
J4_B77,4,1,0,57023.272989509234,57196.08411829901,9.234127431080275,13.851191146620412,6783.696427112758
J4_B77,4,2,0,57213.586157504775,57443.373998024785,7.5020392057608305,11.253058808641246,0.0
J4_B77,4,3,0,63105.4898837498,63285.27264389939,0.0,0.0,5652.115885725012
J4_B77,4,4,0,65465.62407252975,65671.03180815015,0.0,0.0,2170.3514286303543
J6_B107,6,0,1,50224.773590778124,50503.24586746347,4.431155812733614,6.646733719100421,48917.88009533015
J6_B107,6,1,1,50517.56369612945,50594.120823513156,4.317828665985739,6.476742998978608,0.0
J6_B107,6,2,1,57455.125429685875,57616.94818798742,16.453537246879407,24.68030587031911,6834.551068925837
J6_B107,6,3,1,61784.29660082215,61996.51670105668,14.151604891827347,21.22740733774102,4143.196807942899
J6_B107,6,4,1,62283.67678610469,62559.48498992691,4.044860481162315,6.067290721743473,273.11522456684907
J4_B180,4,0,1,50507.6770232762,50603.4246315013,4.431155812733614,6.646733719100421,49451.23834744504
J4_B180,4,1,1,50617.74246016728,50704.14802456217,4.317828665985739,6.476742998978608,0.0
J4_B180,4,2,2,61409.862016498584,61524.75593675859,7.5020392057608305,11.253058808641246,10688.21195273065
J4_B180,4,3,1,62010.66830594851,62100.559686023305,14.151604891827347,21.22740733774102,461.76076429808745
J4_B180,4,4,1,62563.52985040807,62666.23371821827,4.044860481162315,6.067290721743473,448.9253039036048
J6_B203,6,0,1,50607.85578731403,50747.0919256567,4.431155812733614,6.646733719100421,49300.96229186605
J6_B203,6,1,1,50761.40975432268,50799.68831801453,4.317828665985739,6.476742998978608,0.0
J6_B203,6,2,2,61541.209474005474,61622.120853156244,16.453537246879407,24.68030587031911,10715.067618744062
J6_B203,6,3,1,62114.71129091513,62220.8213410324,14.151604891827347,21.22740733774102,468.43883286706114
J6_B203,6,4,1,62670.27857869943,62808.18268061054,4.044860481162315,6.067290721743473,435.4123771858649
J6_B174,6,0,0,56717.23154831983,56856.4676866625,4.431155812733614,6.646733719100421,55410.338052871855
J6_B174,6,1,0,57200.401946964994,57238.68051065684,4.317828665985739,6.476742998978608,329.61643163651024
J6_B174,6,2,1,57616.94818798742,57697.85956713819,0.0,0.0,368.2676773305793
J6_B174,6,3,0,63299.42424879122,63405.53429890849,14.151604891827347,21.22740733774102,5577.4130767612005
J6_B174,6,4,0,65675.07666863131,65812.98077054243,4.044860481162315,6.067290721743473,2255.497509241657
J1_B70,1,0,1,50751.52308146943,50900.77897983366,4.431155812733614,6.646733719100421,49824.11134853684
J1_B70,1,1,1,50915.09680849964,51049.981085846295,4.317828665985739,6.476742998978608,0.0
J1_B70,1,2,2,61638.574390403126,61818.033273530615,16.453537246879407,24.68030587031911,10562.13976730995
J1_B70,1,3,1,62234.97294592423,62376.26659880527,14.151604891827347,21.22740733774102,392.78806750178774
J1_B70,1,4,1,62812.2275410917,63035.15160168537,4.044860481162315,6.067290721743473,421.91608180526964
J4_B130,4,0,1,50916.87939637755,51108.37461282776,16.100416543892642,24.150624815838963,49848.77145981523
J4_B130,4,1,0,57242.998339322825,57415.8094681126,4.317828665985739,6.476742998978608,6120.305897829079
J4_B130,4,2,0,57443.373998024785,57673.161838544795,0.0,0.0,17.56452991218248
J4_B130,4,3,0,63419.68590380032,63599.46866394991,14.151604891827347,21.22740733774102,5722.372460363695
J4_B130,4,4,0,65817.0256310236,66022.43336664399,4.044860481162315,6.067290721743473,2203.5121065925196
J1_B25,1,0,1,51124.47502937166,51273.73092773589,16.100416543892642,24.150624815838963,50185.394035707905
J1_B25,1,1,1,51283.73092773589,51418.61520508254,0.0,0.0,0.0
J1_B25,1,2,2,61818.033273530615,61997.4921566581,0.0,0.0,10389.418068448074
J1_B25,1,3,1,62376.26659880527,62517.56025168631,0.0,0.0,368.77444214716525
J1_B25,1,4,1,63035.15160168537,63258.07566227904,0.0,0.0,507.5913499990638
J6_B144,6,0,0,56856.4676866625,56995.70382500517,0.0,0.0,55554.005347027254
J6_B144,6,1,0,57420.127296778584,57458.40586047043,4.317828665985739,6.476742998978608,410.1056431074321
J6_B144,6,2,1,57697.85956713819,57778.77094628896,0.0,0.0,229.45370666775852
J6_B144,6,3,0,63613.62026884174,63719.73031895901,14.151604891827347,21.22740733774102,5810.697717660951
J6_B144,6,4,0,66026.47822712516,66164.38232903628,4.044860481162315,6.067290721743473,2292.703047684983
J5_B43,5,0,0,57000.1349808179,57204.45663187459,4.431155812733614,6.646733719100421,56398.58071925428
J5_B43,5,1,0,57462.723689136415,57567.047810126365,4.317828665985739,6.476742998978608,243.9492285958404
J5_B43,5,2,2,62004.41538585139,62251.64998799864,6.923229193287661,10.384843789931491,4420.444346531738
J5_B43,5,3,0,63733.88192385084,64029.59502972057,14.151604891827347,21.22740733774102,1458.0803309603725
J5_B43,5,4,0,66168.42718951745,66359.69187965376,4.044860481162315,6.067290721743473,2124.787299315707
J1_B90,1,0,0,57204.780150962375,57354.036049326605,0.3235190877837617,0.48527863167564256,56281.476054754734
J1_B90,1,1,0,57576.28193755745,57711.1662149041,9.234127431080275,13.851191146620412,203.01176079975994
J1_B90,1,2,0,57728.66825410986,57908.12713723735,7.5020392057608305,11.253058808641246,0.0
J1_B90,1,3,0,64033.41497864414,64174.70863152518,3.819948923572631,5.729923385358946,6111.467892483219
J1_B90,1,4,0,66375.63339820961,66598.55745880329,15.941518555840272,23.912277833760406,2174.983248128585
J6_B78,6,0,0,57358.467205139335,57636.93948182468,4.431155812733614,6.646733719100421,56051.57370969136
J6_B78,6,1,0,57715.48404357008,57792.04117095379,4.317828665985739,6.476742998978608,64.22673307942023
J6_B78,6,2,0,57924.580674484234,58086.40343278578,16.453537246879407,24.68030587031911,106.08596628356463
J6_B78,6,3,0,64188.86023641701,64401.08033665154,14.151604891827347,21.22740733774102,6078.305198739399
J6_B78,6,4,0,66602.60231928446,66878.41052310668,4.044860481162315,6.067290721743473,2187.4771221517512
J5_B32,5,0,0,57641.37063763741,57845.6922886941,4.431155812733614,6.646733719100421,57039.81637607379
J5_B32,5,1,0,57860.010117360085,57964.334238350035,4.317828665985739,6.476742998978608,0.0
J5_B32,5,2,2,62251.64998799864,62498.884590145884,0.0,0.0,4277.315749648602
J5_B32,5,3,0,64415.23194154337,64710.9450474131,14.151604891827347,21.22740733774102,1892.1957465056548
J5_B32,5,4,0,66882.45538358785,67073.72007372417,4.044860481162315,6.067290721743473,2157.465475693578
J6_B116,6,0,0,57850.12344450683,57989.3595828495,4.431155812733614,6.646733719100421,56543.229949058856
J6_B116,6,1,0,58003.677411515484,58041.95597520733,4.317828665985739,6.476742998978608,0.0
J6_B116,6,2,1,58051.95597520733,58132.8673543581,0.0,0.0,0.0
J6_B116,6,3,0,64725.09665230493,64831.2067024222,14.151604891827347,21.22740733774102,6568.077693054998
J6_B116,6,4,0,67077.76493420533,67215.66903611645,4.044860481162315,6.067290721743473,2232.5133713019677
J5_B99,5,0,0,57993.79073866223,58198.112389718925,4.431155812733614,6.646733719100421,57392.23647709861
J5_B99,5,1,0,58212.43021838491,58316.75433937486,4.317828665985739,6.476742998978608,0.0
J5_B99,5,2,2,62498.884590145884,62746.11919229313,0.0,0.0,4172.130250771028
J5_B99,5,3,0,64845.358307314025,65141.07141318376,14.151604891827347,21.22740733774102,2075.087510129066
J5_B99,5,4,0,67219.71389659762,67410.97858673394,4.044860481162315,6.067290721743473,2064.5976229326916
J4_B43,4,0,1,51289.83134427978,51481.32656072999,16.100416543892642,24.150624815838963,50221.72340771746
J4_B43,4,1,1,51506.7236534236,51679.53478221338,15.39709269360787,23.095639040411804,0.0
J4_B43,4,2,2,62753.04242148642,62982.83026200643,6.923229193287661,10.384843789931491,11056.584410079755
J4_B43,4,3,1,62997.575720650355,63177.35848079995,4.745458643929976,7.118187965894965,0.0
J4_B43,4,4,1,63258.750872389166,63464.15860800956,0.6752101101196661,1.0128151651794992,70.71718147909269
J6_B56,6,0,1,51485.75771654272,51764.229993228066,4.431155812733614,6.646733719100421,50178.864221094744
J6_B56,6,1,1,51778.54782189405,51855.10494927775,4.317828665985739,6.476742998978608,0.0
J6_B56,6,2,2,62999.28379925331,63161.10655755486,16.453537246879407,24.68030587031911,11117.725312728675
J6_B56,6,3,1,63191.51008569178,63403.73018592631,14.151604891827347,21.22740733774102,6.251923245094076
J6_B56,6,4,1,63468.20346849072,63744.01167231294,4.044860481162315,6.067290721743473,50.42842208324873
J6_B93,6,0,0,58202.543545531655,58481.015822217,4.431155812733614,6.646733719100421,56895.65005008368
J6_B93,6,1,0,58495.33365088298,58571.89077826669,4.317828665985739,6.476742998978608,0.0
